adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
07:0B:3D:ED:1E:44,255,10,NA,1,-92,0,1551337983538,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-86,0,1551337983542,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-85,0,1551337983582,127,0
1F:F2:9B:C5:79:76,255,10,NA,1,-83,0,1551337983586,127,0
23:30:BA:52:57:16,255,10,NA,1,-98,0,1551337983599,127,0
39:15:1D:38:DF:05,255,10,NA,1,-94,0,1551337983605,127,0
24:A9:9A:61:B1:E7,255,10,NA,1,-87,0,1551337983611,127,0
11:CA:80:C1:30:62,255,10,NA,1,-79,0,1551337983615,127,0
3D:8B:F1:4C:B3:BD,255,10,NA,1,-95,0,1551337983619,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-79,0,1551337983622,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-88,0,1551337983628,127,0
0C:D4:34:60:13:D2,255,10,NA,1,-94,0,1551337983639,127,0
1D:EC:0D:69:82:00,255,10,NA,1,-90,0,1551337983646,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-80,0,1551337983667,127,0
CD:4D:12:A9:0A:A2,255,10,NA,1,-87,0,1551337983670,127,0
14:FC:03:AC:FD:68,255,10,NA,1,-97,0,1551337983674,127,0
FB:82:C6:98:FD:89,255,10,NA,1,-91,0,1551337983680,127,0
27:62:82:C0:38:D4,255,10,NA,1,-83,0,1551337983684,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-86,0,1551337983694,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-86,0,1551337983698,127,0
7F:57:DE:40:BB:C0,255,10,NA,1,-87,0,1551337983701,127,0
11:CA:80:C1:30:62,255,10,NA,1,-76,0,1551337983712,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-92,0,1551337983715,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-88,0,1551337983723,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-83,0,1551337983725,127,0
02:57:42:05:22:3F,255,10,NA,1,-94,0,1551337983746,127,0
07:70:48:F5:A1:93,255,10,NA,1,-92,0,1551337983749,127,0
28:8B:5B:74:24:52,255,10,NA,1,-97,0,1551337983765,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-85,0,1551337983768,127,0
05:E3:43:D5:C3:11,255,10,NA,1,-85,0,1551337983770,127,0
0C:84:8C:F3:91:D7,255,10,NA,1,-89,0,1551337983779,127,0
27:62:82:C0:38:D4,255,10,NA,1,-77,0,1551337983784,127,0
1F:F2:9B:C5:79:76,255,10,NA,1,-92,0,1551337983786,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-83,0,1551337983789,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-89,0,1551337983797,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-78,0,1551337983799,127,0
7F:57:DE:40:BB:C0,255,10,NA,1,-85,0,1551337983806,127,0
37:AF:E9:9E:4F:EE,255,10,NA,1,-97,0,1551337983808,127,0
20:09:E8:65:DE:68,255,10,NA,1,-86,0,1551337983810,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-92,0,1551337983818,127,0
36:46:E8:10:88:55,255,10,NA,1,-97,0,1551337983820,127,0
D4:6F:6D:FC:59:95,255,10,NA,1,-90,0,1551337983839,127,0
1D:EC:0D:69:82:00,255,10,NA,1,-98,0,1551337983849,127,0
07:70:48:F5:A1:93,255,10,NA,1,-80,0,1551337983855,127,0
CD:96:D0:2D:C3:7C,255,10,NA,1,-91,0,1551337983858,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-89,0,1551337983861,127,0
05:E3:43:D5:C3:11,255,10,NA,1,-91,0,1551337983871,127,0
27:62:82:C0:38:D4,255,10,NA,1,-81,0,1551337983893,127,0
34:23:2F:51:A7:AB,255,10,NA,1,-89,0,1551337983902,127,0
F2:4A:DA:F2:96:9A,255,10,NA,1,-93,0,1551337983921,127,0
20:09:E8:65:DE:68,255,10,NA,1,-85,0,1551337983924,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-96,0,1551337983932,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-87,0,1551337983935,127,0
0E:0E:D5:2E:D7:F0,255,10,NA,1,-87,0,1551337983977,127,0
05:E3:43:D5:C3:11,255,10,NA,1,-83,0,1551337983981,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-83,0,1551337983996,127,0
27:62:82:C0:38:D4,255,10,NA,1,-76,0,1551337984004,127,0
11:CA:80:C1:30:62,255,10,NA,1,-85,0,1551337984018,127,0
20:09:E8:65:DE:68,255,10,NA,1,-86,0,1551337984023,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-91,0,1551337984032,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-83,0,1551337984040,127,0
1D:EC:0D:69:82:00,255,10,NA,1,-85,0,1551337984051,127,0
18:06:48:C6:A0:8E,255,10,NA,1,-85,0,1551337984072,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-89,0,1551337984110,127,0
F2:4A:DA:F2:96:9A,255,10,NA,1,-92,0,1551337984114,127,0
7F:57:DE:40:BB:C0,255,10,NA,1,-83,0,1551337984120,127,0
11:CA:80:C1:30:62,255,10,NA,1,-74,0,1551337984124,127,0
1D:3C:67:ED:B7:A0,255,10,NA,1,-91,0,1551337984131,127,0
01:A1:11:5E:BE:0B,255,10,NA,1,-93,0,1551337984141,127,0
0C:02:A5:0E:AD:30,255,10,NA,1,-83,0,1551337984144,127,0
3D:8B:F1:4C:B3:BD,255,10,NA,1,-90,0,1551337984152,127,0
07:0B:3D:ED:1E:44,255,10,NA,1,-95,0,1551337984155,127,0
0C:D4:34:60:13:D2,255,10,NA,1,-97,0,1551337984165,127,0
07:70:48:F5:A1:93,255,10,NA,1,-95,0,1551337984188,127,0
05:E3:43:D5:C3:11,255,10,NA,1,-90,0,1551337984191,127,0
1F:F2:9B:C5:79:76,255,10,NA,1,-90,0,1551337984202,127,0
19:7D:DE:1E:D1:BF,255,10,NA,1,-77,0,1551337984205,127,0
03:60:84:C8:6D:2F,255,10,NA,1,-96,0,1551337984209,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-96,0,1551337984212,127,0
11:CA:80:C1:30:62,255,10,NA,1,-82,0,1551337984233,127,0
20:09:E8:65:DE:68,255,10,NA,1,-89,0,1551337984236,127,0
24:A9:9A:61:B1:E7,255,10,NA,1,-85,0,1551337984242,127,0
1D:EC:0D:69:82:00,255,10,NA,1,-84,0,1551337984254,127,0
03:85:D3:99:6E:AF,255,10,NA,1,-94,0,1551337984258,127,0
