bssid,frequency,rss,ssid,timeMillis,timestamp
909f33f59806,5805,-73,MLILAB824_15G,1557228450663,1581497924520
00246c7a88f2,5805,-63,Welcome_1st_KAIST,1557228450663,1581497924516
00246c7a88f1,5805,-64,eduroam,1557228450663,1581497924513
00246c7a88f0,5805,-63,Welcome_KAIST,1557228450663,1581497924508
48f8b3dcef4e,5805,-81,KIXLAB_WIFI_5GHz,1557228450663,1581497924501
6245b4eeda63,5785,-75,,1557228450663,1581497924496
00246c7df732,5785,-75,Welcome_1st_KAIST,1557228450663,1581497924491
88366ce94e70,5785,-75,MLILAB824_25G,1557228450663,1581497924486
9cd643c81182,5785,-58,JoyK,1557228450663,1581497924482
6e7f92e09f70,5785,-81,HCIL guest,1557228450663,1581497924476
6c709fe0927f,5785,-82,HCIL,1557228450663,1581497924470
00246c7df731,5785,-73,eduroam,1557228450663,1581497924466
00246c7df730,5785,-74,Welcome_KAIST,1557228450663,1581497924460
b06ebfa39084,5765,-62,Askai-ASUS_80_5G,1557228450663,1581497924456
88366cb3ef2e,5745,-82,SPIRAL5G,1557228450663,1581497924449
88366cc19724,5745,-94,iptime5G,1557228450663,1581497924439
54a050d4c63c,5745,-77,SeungJu-RESL_5G,1557228450663,1581497924435
909f33a8295a,5745,-68,shheo5g,1557228450663,1581497924431
1831bf46ffdc,5745,-51,KECI_5G,1557228450663,1581497924425
708bcd2f8264,5745,-81,LIT_5G,1557228450663,1581497924420
909f331083bc,5700,-85,iptime_dblab_5G,1557228450663,1581497924414
00246c7df2f2,5240,-87,Welcome_1st_KAIST,1557228450663,1581497924410
00246c7e0812,5240,-82,Welcome_1st_KAIST,1557228450663,1581497924406
00246c7df2f1,5240,-84,eduroam,1557228450663,1581497924403
00246c7df2f0,5240,-84,Welcome_KAIST,1557228450663,1581497924398
00246c7df612,5240,-65,Welcome_1st_KAIST,1557228450663,1581497924394
00246c7df611,5240,-64,eduroam,1557228450663,1581497924389
00246c7df610,5240,-65,Welcome_KAIST,1557228450663,1581497924386
a040a05608f7,5240,-75,NMSL_N1_721,1557228450663,1581497924382
64e599da036c,5240,-68,WCSL 5GHz,1557228450663,1581497924378
6cf37ffaab30,5240,-94,Welcome_KAIST,1557228450663,1581497924370
00246c7a8b32,5220,-66,Welcome_1st_KAIST,1557228450663,1581497924366
00246c7a8b31,5220,-64,eduroam,1557228450663,1581497924361
00246c7a8b30,5220,-67,Welcome_KAIST,1557228450663,1581497924358
00246c7df692,5200,-39,Welcome_1st_KAIST,1557228450663,1581497924355
00246c7df691,5200,-39,eduroam,1557228450663,1581497924346
