id,time,x,y,z
1,1508482103105,28.1875,12.1875,-42.1875
2,1508482103124,28.9375,13.3125,-42.5625
3,1508482103143,29.6875,13.3125,-42.5625
4,1508482103160,29.3125,12.5625,-42.9375
5,1508482103178,28.1875,13.3125,-42.9375
6,1508482103196,28.1875,12.9375,-41.75
7,1508482103213,29.3125,13.6875,-43
8,1508482103248,29.3125,13.3125,-41.75
9,1508482103269,28.9375,13.3125,-42.1875
10,1508482103285,28.5625,12.9375,-42.5625
11,1508482103302,28.9375,13.6875,-42.9375
12,1508482103322,28.1875,12.9375,-43.375
13,1508482103343,27.8125,13.6875,-41.75
14,1508482103360,28.9375,13.3125,-42.5625
15,1508482103381,28.9375,12.9375,-43.375
16,1508482103403,28.1875,12.9375,-42.1875
17,1508482103428,28.1875,13.6875,-42.9375
18,1508482103443,28.5625,14.0625,-42.5625
19,1508482103457,29.3125,14.4375,-42.5625
20,1508482103472,29.3125,14.0625,-42.5625
21,1508482103489,27.8125,14.0625,-42.5625
22,1508482103503,28.1875,14.0625,-42.125
23,1508482103518,28.5625,14.0625,-42.5625
24,1508482103532,28.5625,14.0625,-42.9375
25,1508482103548,28.1875,14.8125,-42.5625
26,1508482103563,27.5,14.0625,-42.9375
27,1508482103578,27.8125,14.0625,-42.9375
28,1508482103593,27.5,14.4375,-42.125
29,1508482103608,27.8125,14.4375,-41.375
30,1508482103623,28.1875,15.1875,-42.1875
31,1508482103638,27.8125,14.8125,-42.9375
32,1508482103655,27.8125,14.4375,-44.5625
33,1508482103671,27.8125,15.5,-41.75
34,1508482103687,27.8125,15.125,-42.9375
35,1508482103705,28.1875,15.1875,-41.75
36,1508482103719,27.5,15.875,-42.1875
37,1508482103733,27.5,15.875,-42.5625
38,1508482103749,28.1875,15.5,-42.1875
39,1508482103763,27.5,16.25,-41.75
40,1508482103780,28.1875,15.5,-42.1875
41,1508482103795,27.8125,15.5,-40.9375
42,1508482103810,28.1875,15.5,-41.375
43,1508482103825,27.5,16.25,-41.3125
44,1508482103840,27.8125,15.1875,-42.1875
45,1508482103855,27.5,15.875,-42.5625
46,1508482103869,27.8125,15.5,-42.1875
47,1508482103885,27.5,14.8125,-41.375
