timeMillis,timeNanos,x,y,z
1580794745516,220596489927894,-0.024055874,-1.9547688E-5,0.021365624
1580794745534,220596509927894,-0.028942795,0.012197757,0.0164787
1580794745558,220596529927894,-0.013060299,0.006089105,0.007926588
1580794745576,220596549927894,0.011374311,-0.015902044,-0.004901583
1580794745596,220596569927894,0.015039502,-0.026897619,-0.0073450436
1580794745615,220596589927894,-0.014282029,-0.007960795,0.009759183
1580794745637,220596609927894,-0.06559471,0.014641218,0.009148318
1580794745656,220596629928608,-0.12179431,0.0054782396,0.004261396
1580794745678,220596649928608,-0.14806153,-0.008571661,0.012813509
1580794745698,220596669928608,-0.1376768,-0.015902044,0.023198219
1580794745716,220596689928608,-0.11935085,-0.027508484,0.013424374
1580794745735,220596709928608,-0.099803165,-0.040336654,-0.007955909
1580794745757,220596729928608,-0.07842288,-0.032395404,-0.021394946
1580794745777,220596749928608,-0.080866344,-0.012236852,-0.015286292
1580794745804,220596769929322,-0.0973597,0.009754296,0.014646105
1580794745818,220596789929322,-0.09002932,0.036021505,0.037858985
1580794745835,220596809928634,-0.060096923,0.058623515,0.04580023
1580794745854,220596829929163,-0.027721066,0.039686695,0.043356773
1580794745877,220596849929551,-0.008173377,-0.0036847391,0.03724812
1580794745896,220596869929866,0.0028221975,-0.046445306,0.039080717
1580794745916,220596889930166,0.01015258,-0.037282325,0.05251975
1580794745938,220596909930356,0.0070982543,0.0030347786,0.078786954
1580794745957,220596929930356,-0.013671164,0.048238806,0.09283685
1580794745977,220596949930312,-0.031997122,0.053736594,0.0867282
1580794745998,220596969930270,-0.03749491,0.020139005,0.068402246
1580794746016,220596989930150,-0.03749491,5.9131754E-4,0.05129802
1580794746036,220597009929957,-0.018558087,0.01586295,0.040302444
1580794746058,220597029929697,0.002211332,0.025025927,0.034804657
1580794746078,220597049484275,0.002211332,0.01830641,0.031750333
1580794746096,220597069483826,-0.0026755899,0.023804197,0.028696004
1580794746119,220597089483526,3.7873647E-4,0.032967176,0.021976488
1580794746135,220597109482259,3.7873647E-4,0.045795344,0.010370049
1580794746156,220597129480859,0.0077091195,0.05679092,0.007926588
1580794746175,220597149479392,0.022369884,0.048849672,0.017700432
1580794746197,220597169478558,0.028478539,0.022582466,0.004872261
1580794746215,220597189476958,0.020537289,-0.007960795,-0.014675426
1580794746237,220597209476291,0.013817772,-0.02262156,-0.009177639
1580794746257,220597229475024,0.004654793,-0.011015123,0.014646105
1580794746277,220597249473857,-0.010005973,0.0036456438,0.031750333
1580794746298,220597269472557,-0.012449433,0.009143431,0.042745907
1580794746314,220597289470490,-0.0014538594,0.0079217,0.039080717
1580794746334,220597309468356,0.013206907,-0.0018521434,0.027474275
1580794746356,220597329466856,0.012596042,-0.0012412781,0.023809085
1580794746375,220597349465222,-0.006340781,0.012808623,0.030528601
1580794746395,220597369463188,-0.024666738,0.035410635,0.040302444
1580794746460,220597389461454,-0.02588847,0.04335188,0.043967634
1580794746460,220597409460020,-0.01916895,0.02991285,0.031750333
1580794746493,220597429457086,-0.016114626,-1.9547688E-5,0.031139467
1580794746493,220597449454852,-0.01672549,0.0012021827,0.039691582
1580794746532,220597469452585,-0.014892895,0.0054782396,0.053130616
1580794746532,220597489450185,-0.027721066,0.008532566,0.065347925
1580794746536,220597509447085,-0.058264326,-0.0073499307,0.06656965
1580794746555,220597529444751,-0.08025548,-0.027508484,0.075732626
1580794746574,220597549442384,-0.0729251,-0.0482779,0.09405859
1580794746597,220597569439884,-0.06254038,-0.072101645,0.091615126
1580794746615,220597589437384,-0.06437298,-0.072101645,0.090393394
1580794746633,220597609434184,-0.06987076,-0.045223575,0.110551946
1580794746695,220597629431184,-0.09186192,-0.036060598,0.12338012
1580794746695,220597649427917,-0.09186192,-0.036060598,0.12338012
1580794746720,220597669425083,-0.09186192,-0.036060598,0.12338012
1580794746721,220597689421683,0.03580892,0.026858522,0.1026107
