bssid,frequency,rss,ssid,timeMillis,timestamp
aa40a05608f5,2472,-71,,1557228919795,1555290654795
8a366cc94e70,2472,-76,MLILAB824_2,1557228919795,1555290654791
909f33f59806,5805,-70,MLILAB824_15G,1557228919795,1555290654787
00246c7df661,2472,-93,eduroam,1557228919795,1555290654783
48f8b3dcef4e,5805,-68,KIXLAB_WIFI_5GHz,1557228919795,1555290654779
00246c7df512,5805,-88,Welcome_1st_KAIST,1557228919795,1555290654773
00246c7df361,2472,-75,eduroam,1557228919795,1555290654766
00246c7df360,2472,-74,Welcome_KAIST,1557228919795,1555290654761
6245b4eeda63,5785,-74,,1557228919795,1555290654757
00246c7df5c0,2472,-85,Welcome_KAIST,1557228919795,1555290654754
00246c7df600,2472,-61,Welcome_KAIST,1557228919795,1555290654749
a640a05608f5,2472,-71,NMSL_N1_721,1557228919795,1555290654744
9cd643c81182,5785,-64,JoyK,1557228919795,1555290654739
00246c7df732,5785,-77,Welcome_1st_KAIST,1557228919795,1555290654733
00246c7df731,5785,-76,eduroam,1557228919795,1555290654730
00246c7df730,5785,-75,Welcome_KAIST,1557228919795,1555290654724
6c709fe0927f,5785,-74,HCIL,1557228919795,1555290654719
6e7f92e09f70,5785,-75,HCIL guest,1557228919795,1555290654714
88366ce94e70,5785,-65,MLILAB824_25G,1557228919795,1555290654707
00246c7df722,2472,-66,Welcome_1st_KAIST,1557228919795,1555290654704
00246c7df721,2472,-67,eduroam,1557228919795,1555290654698
b06ebfa39084,5765,-61,Askai-ASUS_80_5G,1557228919795,1555290654693
106f3fe7f284,2462,-76,DioOpenWrt,1557228919795,1555290654689
708bcd2f8264,5745,-78,LIT_5G,1557228919795,1555290654684
6cf37ffaab22,2472,-86,Welcome_1st_KAIST,1557228919795,1555290654678
6cf37ffaab21,2472,-87,eduroam,1557228919795,1555290654673
6cf37ffaab20,2472,-86,Welcome_KAIST,1557228919795,1555290654667
909f33a8295a,5745,-64,shheo5g,1557228919795,1555290654662
1831bf46ffdc,5745,-48,KECI_5G,1557228919795,1555290654656
00246c7df662,2472,-93,Welcome_1st_KAIST,1557228919795,1555290654649
00246c7df5c2,2472,-82,Welcome_1st_KAIST,1557228919795,1555290654646
00246c7df5c1,2472,-86,eduroam,1557228919795,1555290654641
