# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1532327888458,245119534831875,-32.76000000,-42.00000000,-43.20000000,7.670,21.100,0.00000000
1532327888481,245119554831908,-32.57999800,-42.30000000,-42.84000000,7.670,21.100,0.00000000
1532327888497,245119574831908,-32.46000000,-42.48000000,-42.71999700,7.670,21.100,0.00000000
1532327888517,245119594831908,-32.16000000,-42.23999800,-43.02000000,7.670,21.100,0.00000000
1532327888540,245119614831908,-32.39999800,-42.89999800,-42.71999700,7.670,21.100,0.00000000
1532327888558,245119634831908,-32.57999800,-42.84000000,-42.84000000,7.670,21.100,0.00000000
1532327888579,245119654831874,-32.64000000,-42.60000000,-43.26000000,7.670,21.100,0.00000000
1532327888601,245119674831874,-33.12000000,-42.66000000,-43.14000000,7.670,21.100,0.00000000
1532327888617,245119694831874,-33.12000000,-42.23999800,-43.14000000,7.670,21.100,0.00000000
1532327888643,245119714831874,-33.12000000,-42.12000000,-42.78000000,7.670,21.100,0.00000000
1532327888663,245119734831840,-33.30000000,-42.18000000,-42.60000000,7.670,21.100,0.00000000
1532327888680,245119755769406,-32.94000000,-42.36000000,-42.36000000,7.670,21.100,0.00000000
1532327888697,245119775769406,-33.23999800,-42.84000000,-41.94000000,7.670,21.100,0.00000000
1532327888720,245119795769406,-33.18000000,-43.07999800,-42.05999800,7.670,21.100,0.00000000
1532327888737,245119815769406,-33.54000000,-43.14000000,-42.00000000,7.670,21.100,0.00000000
1532327888760,245119835769406,-34.02000000,-42.96000000,-42.30000000,7.670,21.100,0.00000000
1532327888781,245119855769406,-33.48000000,-42.66000000,-42.23999800,7.670,21.100,0.00000000
1532327888798,245119875769406,-33.89999800,-42.30000000,-42.30000000,7.670,21.100,0.00000000
1532327888817,245119895769406,-33.66000000,-42.36000000,-42.48000000,7.670,21.100,0.00000000
1532327888840,245119915769406,-34.02000000,-42.54000000,-42.30000000,7.670,21.100,0.00000000
1532327888858,245119935769406,-34.26000000,-42.54000000,-42.71999700,7.670,21.100,0.00000000
