timestamp,wifiNo
1594963724515,1
1594963739270,2
1594963739502,3
1594963740818,4
1594963742162,5
1594963779710,6
1594963781795,7
1594963783122,8
1594963784502,9
1594963821905,10
1594963829808,11
1594963831102,12
1594963832359,13
1594963862167,14
1594963877263,15
1594963878546,16
1594963879796,17
1594963898160,18
1594963899454,19
1594963900707,20
1594963920685,21
1594963921954,22
1594963923229,23
1594963936877,24
1594963938169,25
1594963939468,26
