timestamp,wifiNo
1597466403734,1
1597466423883,2
1597466430983,3
1597466432210,4
1597466433458,5
1597466444356,6
1597466445464,7
1597466446757,8
1597466448094,9
1597466459647,10
1597466460893,11
1597466462143,12
1597466465104,13
