gt_x,gt_y,mag_x,mag_y,mag_z,roll,pitch,yaw
68.74,19.88,15.3592,-3.25208,-23.6521,-0.340637,-0.0607868,3.11428
68.14,19.9,13.2478,-2.51391,-26.5148,-0.343468,-0.0344032,-3.12392
67.54,19.91,7.72504,0.185588,-28.6182,-0.350751,-0.0558395,3.11826
66.94,19.93,1.20787,-5.10787,-33.683,-0.353166,-0.0140764,-3.12199
66.35,19.93,1.14726,-10.8044,-34.98,-0.359746,-0.0395196,3.10779
65.75,19.95,2.21621,-13.3238,-36.6243,-0.317405,-0.0647335,-3.12741
65.15,19.94,3.92347,-10.4165,-36.3483,-0.329291,-0.068186,3.12448
64.54,19.95,1.62576,-9.65171,-35.9553,-0.38657,-0.000777588,-3.10182
63.94,19.94,3.1893,-5.64509,-31.6293,-0.39001,-0.0041281,3.08685
63.35,19.98,3.48,-6.97861,-31.9842,-0.327293,0.0546209,-3.09808
62.76,19.97,3.86608,-6.10433,-32.6061,-0.307206,0.034813,3.09932
62.17,20.01,4.8848,-9.6952,-29.0604,-0.317186,0.0378434,-3.11137
61.58,20.02,7.15658,-2.68482,-29.7759,-0.276594,0.0176628,3.13278
60.97,20.04,7.8,0.808242,-30.9134,-0.275082,-0.0016775,-3.11583
60.37,20.05,9.57077,4.38155,-32.4058,-0.267282,0.0273439,-3.11964
59.76,20.06,10.1256,4.53521,-32.9856,-0.295867,0.0260742,-3.08574
59.16,20.06,9.21068,8.33863,-33.2093,-0.281843,-0.0352624,3.13057
58.56,20.09,2.52518,0.633929,-36.1383,-0.297961,-0.00577009,-3.07405
57.95,20.09,1.10696,-0.200876,-39.7052,-0.28346,-0.0152599,-3.11053
57.34,20.1,-2.47479,-6.8835,-47.1444,-0.24049,-0.00385589,-3.075
56.74,20.12,-0.77106,-12.2221,-46.1202,-0.290486,-0.00665956,-3.09645
56.13,20.13,-1.20994,-14.2899,-45.293,-0.263494,0.0149228,-3.03293
