id,time,x,y,z
1,1508482025829,-25.3125,-29.4375,-50.9375
2,1508482025851,-25.6875,-29.8125,-48.5625
3,1508482025868,-24.9375,-30.1875,-49.75
4,1508482025887,-24.5625,-30.5625,-49.75
5,1508482025905,-25.3125,-30.9375,-49.75
6,1508482025923,-25.6875,-29.4375,-50.125
7,1508482025943,-25.3125,-30.5625,-48.5625
8,1508482025962,-25.6875,-30.5625,-48.5625
9,1508482025977,-25.3125,-30.9375,-48.9375
10,1508482025994,-26.0625,-30.5625,-48.125
11,1508482026011,-25.6875,-30.5625,-48.125
12,1508482026029,-25.6875,-30.9375,-48.5625
13,1508482026045,-25.3125,-31.25,-48.5
14,1508482026064,-24.9375,-31.625,-49.3125
15,1508482026075,-25.3125,-31.625,-49.75
16,1508482026087,-25.6875,-30.5625,-48.5625
17,1508482026100,-24.9375,-31.25,-48.9375
18,1508482026112,-26.0625,-31.625,-49.3125
19,1508482026125,-24.9375,-31.25,-48.5625
20,1508482026138,-25.3125,-31.25,-48.125
21,1508482026151,-25.3125,-31.25,-48.5625
22,1508482026170,-25.3125,-31.25,-48.5625
23,1508482026187,-25.6875,-31.625,-48.5625
24,1508482026205,-25.6875,-32,-48.125
25,1508482026224,-25.3125,-31.625,-48.5
26,1508482026243,-26.8125,-31.625,-48.5625
27,1508482026261,-26.4375,-31.625,-48.5625
28,1508482026279,-26.0625,-31.625,-48.9375
29,1508482026294,-25.6875,-31.625,-48.125
30,1508482026336,-26.8125,-32.75,-48.5625
31,1508482026352,-26.0625,-32,-48.5625
32,1508482026371,-26.8125,-32.75,-47.75
33,1508482026390,-26.8125,-32.75,-47.75
34,1508482026411,-26.4375,-32,-47.75
35,1508482026433,-26.0625,-32.375,-48.5625
36,1508482026451,-26.4375,-32.375,-48.125
37,1508482026472,-26.0625,-32,-48.125
38,1508482026496,-26.4375,-32,-48.125
39,1508482026520,-26.0625,-32,-48.5625
40,1508482026543,-26.4375,-32,-48.5625
41,1508482026565,-26.8125,-32,-49.375
42,1508482026589,-26.4375,-30.9375,-47.3125
43,1508482026611,-26.8125,-31.25,-48.125
44,1508482026639,-26.8125,-32.375,-46.9375
45,1508482026657,-26.8125,-31.625,-47.375
46,1508482026673,-26.8125,-32,-48.5625
47,1508482026688,-27.125,-31.625,-47.75
48,1508482026703,-27.125,-32,-46.5625
49,1508482026721,-27.125,-32,-48.5625
50,1508482026738,-27.875,-30.5625,-47.75
51,1508482026755,-27.5,-32,-47.75
52,1508482026773,-27.5,-31.25,-48.125
53,1508482026793,-27.875,-32,-47.75
54,1508482026814,-27.875,-31.25,-47.375
55,1508482026835,-28.25,-30.9375,-48.5625
56,1508482026858,-27.875,-32,-47.75
57,1508482026879,-27.875,-31.625,-47.75
58,1508482026903,-28.25,-31.625,-48.125
59,1508482026922,-27.875,-31.625,-48.5625
60,1508482026951,-27.5,-32,-48.125
61,1508482026970,-27.5,-32.375,-48.5625
62,1508482026986,-28.625,-33.125,-47.75
63,1508482027005,-28.625,-32.75,-47.3125
64,1508482027022,-27.875,-32.75,-46.9375
65,1508482027042,-29,-33.5,-46.9375
66,1508482027062,-27.875,-32,-46.5625
67,1508482027083,-28.625,-32.75,-48.9375
68,1508482027103,-28.625,-33.125,-48.1875
69,1508482027124,-29.375,-32.75,-47.375
70,1508482027148,-29,-33.125,-47.75
71,1508482027171,-29,-33.875,-47.375
72,1508482027191,-29.75,-34.25,-45.3125
73,1508482027209,-29.75,-34.25,-45.3125
74,1508482027227,-30.125,-35.3125,-45.75
75,1508482027246,-30.8125,-34.5625,-44.9375
76,1508482027268,-30.8125,-34.9375,-45.75
77,1508482027289,-30.8125,-34.9375,-43.75
78,1508482027309,-30.4375,-34.9375,-44.9375
79,1508482027332,-30.8125,-34.5625,-45.3125
80,1508482027353,-30.4375,-34.5625,-45.3125
81,1508482027375,-31.1875,-34.9375,-45.3125
82,1508482027395,-31.1875,-34.9375,-44.125
83,1508482027417,-31.9375,-35.3125,-45.75
84,1508482027442,-31.1875,-36.8125,-44.5625
85,1508482027463,-31.9375,-37.5625,-44.125
86,1508482027486,-31.1875,-38.25,-43.75
87,1508482027508,-31.1875,-37.875,-43.75
88,1508482027531,-31.9375,-37.1875,-43.75
89,1508482027556,-32.3125,-37.875,-44.125
90,1508482027579,-31.5625,-37.875,-43.75
91,1508482027602,-31.9375,-38.25,-43.75
92,1508482027624,-32.6875,-38.25,-43.75
93,1508482027649,-32.3125,-38.625,-44.125
94,1508482027672,-32.3125,-39.375,-42.5625
95,1508482027695,-32.6875,-39.375,-43.3125
96,1508482027714,-32.3125,-40.125,-43.3125
97,1508482027734,-32.6875,-40.5,-42.125
