altitude,givenTimeMillis,horizontalAccuracy,latitude,longitude,timeMillis,verticalAccuracy
77.83415342778584,1580794078240,192.0,36.36762850420628,127.36400868193667,1580794077331,Infinity
73.97696826897887,1580794079267,128.0,36.367650149328476,127.36395704048712,1580794078341,Infinity
73.0538859822618,1580794080250,96.0,36.36766463153006,127.36392311942475,1580794079282,Infinity
74.35953728428112,1580794081250,96.0,36.367609804280455,127.36394261957878,1580794080250,Infinity
127.87870990102451,1580794082271,64.0,36.367559169849706,127.3638860276468,1580794081328,Infinity
111.0793440657221,1580794083252,64.0,36.36754986378903,127.36395104941998,1580794082317,Infinity
105.26345585242552,1580794084252,64.0,36.36752668160129,127.36396808611461,1580794083306,Infinity
102.84419178768883,1580794085252,64.0,36.36750843867386,127.36397281718514,1580794084306,Infinity
80.53532906696822,1580794086308,64.0,36.367493495677735,127.36399326877783,1580794085321,Infinity
80.33207132729402,1580794087303,96.0,36.36748346852653,127.36400286601685,1580794086336,Infinity
80.27991506260346,1580794088266,96.0,36.3674905616754,127.36401441746878,1580794087328,Infinity
80.27940895397674,1580794089266,48.0,36.36748289023045,127.36401306803616,1580794088312,Infinity
80.2783967367233,1580794090266,48.0,36.36746754734053,127.36401036917118,1580794089326,Infinity
80.27687841072246,1580794091266,48.0,36.36744453300383,127.3640063208742,1580794090318,Infinity
