loc_x,loc_y,mag_x,mag_y,mag_z
,,,,
32.9,32.5,-21.63816901,-0.603474379,-23.4197493
,,,,
32.9,33.7,-28.51460435,-6.827202174,-24.86717826
,,,,
32.9,34.9,-32.75592857,-2.189353457,-49.70692
,,,,
32.9,36.1,-23.77465217,-3.710892464,-28.57652319
,,,,
32.9,37.3,-11.16348362,-20.52574203,-15.3581
,,,,
32.9,38.5,-34.70892609,2.726546812,-46.28565072
,,,,
32.9,39.7,-17.07823,0.735015973,-50.84593
,,,,
32.9,40.9,-22.99349,0.002528651,-34.51850143
,,,,
32.9,42.1,-24.46260714,12.46054571,-58.55713286
,,,,
32.9,43.3,-31.55598286,14.02683714,-29.88972286
,,,,
32.9,44.5,-34.51203913,4.456671449,-46.11153188
,,,,
32.9,45.7,-28.46470286,16.37052286,-17.65877429
,,,,
33.8,45.7,-29.61741857,11.96225857,-47.93613714
,,,,
33.8,44.5,-13.82903714,9.183414571,-39.02371857
,,,,
33.8,43.3,-28.95876111,0.328106296,-25.26111528
,,,,
33.8,42.1,-29.91158571,15.94387,-17.44722857
,,,,
33.8,40.9,-35.94135857,9.180668286,-51.8886
,,,,
33.8,39.7,-21.17253286,11.54639471,-26.03111429
,,,,
33.8,38.5,-32.04773143,17.99968143,-6.514369286
,,,,
33.8,37.3,-25.39498286,-13.19761571,-57.04170857
,,,,
33.8,36.1,-40.27485571,-5.161264,-14.57397143
,,,,
33.8,34.9,-31.28729429,2.216535771,-20.72063143
,,,,
33.8,33.7,-5.549315571,23.91131571,-27.20760143
,,,,
33.8,32.5,-12.5088,-11.93867681,-40.92341159
,,,,
33.8,31.3,-20.2832913,-5.759993623,0.098452325
,,,,
33.8,30.1,-26.26097246,20.32945797,-39.28382319
,,,,
33.8,28.9,-30.88583857,11.48077714,-40.01516286
,,,,
33.8,27.7,-21.93742857,22.58712857,-39.98157857
,,,,
33.8,26.5,-15.21327857,23.37299571,-40.61695714
,,,,
33.8,25.3,-34.86660845,16.10464225,-24.51434225
,,,,
33.8,24.1,-10.30112171,-14.53968571,-33.71099714
,,,,
33.8,22.9,-16.883,26.65250286,-16.99179714
,,,,
33.8,21.7,-26.97025857,7.712816857,-55.52220429
,,,,
33.8,20.5,-29.00237714,-4.235033286,-47.36589429
,,,,
33.8,19.3,-34.68428857,4.419686286,-29.84475143
,,,,
33.8,18.1,-25.73433944,18.21454225,-32.13959296
,,,,
33.8,16.9,-18.27203239,1.070801831,-64.64542958
,,,,
33.8,15.7,-47.82556,-7.479989286,-27.74366
,,,,
33.8,14.5,-28.45679286,12.15883286,-18.64619571
,,,,
33.8,13.3,-16.21453286,10.57233014,-22.35816429
,,,,
33.8,12.1,-28.09056522,-4.203132464,-31.36242754
,,,,
33.8,10.9,-14.85404286,9.576762714,-18.21885857
,,,,
33.8,9.7,-38.66542958,16.66408028,-47.28335915
,,,,
34.7,9.7,-28.86127246,-4.134357391,-21.56714928
,,,,
34.7,10.9,-10.63611886,-2.052176886,8.068390286
,,,,
34.7,12.1,-36.59998261,-9.280971884,-27.07685507
,,,,
34.7,13.3,-29.61056232,2.334240739,-2.633423478
,,,,
34.7,14.5,-17.26881884,8.440697391,-9.457264638
,,,,
34.7,15.7,-21.63934789,-6.206931831,-20.26119859
,,,,
34.7,16.9,-30.4004338,9.010873521,-38.73286901
,,,,
34.7,18.1,-34.67254783,-3.976572899,-34.69244928
,,,,
34.7,19.3,-20.75831429,-6.158316714,-35.22059714
,,,,
34.7,20.5,-14.72497714,-15.23368,-27.58704
,,,,
34.7,21.7,-40.10214286,16.57170429,-33.02961286
,,,,
34.7,22.9,-9.949228,28.68752429,-15.54661714
,,,,
34.7,24.1,-43.99685143,-5.907505286,3.687613286
,,,,
34.7,25.3,-32.97096618,17.07048235,-47.68432206
,,,,
34.7,26.5,-27.22577857,15.28798286,-45.40862714
,,,,
34.7,27.7,-39.51211618,-15.09729265,-33.91611176
,,,,
34.7,28.9,-13.27492609,5.158222319,-46.42963623
,,,,
34.7,30.1,-20.78299286,8.248443429,-22.46355286
,,,,
34.7,31.3,-10.21573879,15.07778333,-1.721445833
,,,,
34.7,32.5,-23.20059429,13.58453429,-42.91263571
,,,,
34.7,33.7,-25.77306522,0.8646867,-47.37296812
,,,,
34.7,34.9,-27.93922817,7.882131972,-39.40526056
,,,,
34.7,36.1,-17.79877,0.000130719,-27.87604
,,,,
34.7,37.3,-30.69258676,0.075284205,-34.32798824
,,,,
34.7,38.5,-12.87866,1.24446225,-38.80149714
,,,,
34.7,39.7,-12.40870571,31.55016571,-32.50930857
,,,,
34.7,40.9,-10.52011565,23.75839855,-2.439172609
,,,,
34.7,42.1,-23.42709718,-13.15181127,-35.32841408
,,,,
34.7,43.3,-34.65620435,-3.268013043,27.34047971
,,,,
34.7,44.5,-19.11404085,16.66898028,-31.38446901
,,,,
34.7,45.7,-31.08206522,-1.524153555,-56.2402971
,,,,
35.6,45.7,-26.08666232,-9.146848551,-42.84787536
,,,,
35.6,44.5,-19.27453857,6.301858,-21.29224286
,,,,
35.6,43.3,-25.13071739,7.316478696,-46.16071159
,,,,
35.6,42.1,-30.45974783,13.38359565,-18.56218841
,,,,
35.6,40.9,-21.3918913,7.250733478,-51.41705217
,,,,
35.6,39.7,-28.80126714,21.67822571,30.14109714
,,,,
35.6,38.5,-23.93565714,12.79698286,-39.44469
,,,,
35.6,37.3,-19.45086522,12.85551014,-50.97048261
,,,,
35.6,36.1,-27.17296143,0.231977152,-17.26719429
,,,,
35.6,34.9,-24.14246087,17.35573913,-20.65756667
,,,,
35.6,33.7,-14.51738551,-17.34836377,-25.09391739
,,,,
