adress,bond,name,rssi,time,type
00:1D:DF:5D:0E:B8,10,SoundSticks W,-70,1551337741331,1
C4:73:1E:A2:26:D8,10,TVBluetooth,-97,1551337741383,1
00:1D:DF:5D:0E:B8,10,SoundSticks W,-71,1551337742328,1
00:1D:DF:5D:0E:B8,10,SoundSticks W,-76,1551337742649,1
00:1D:DF:5D:0E:B8,10,SoundSticks W,-69,1551337742718,1
11:75:58:6B:74:DF,10,Tivoo-light,-96,1551337744477,3
71:01:C8:A0:73:28,10,NA,-66,1551337746188,2
66:76:99:D4:64:FF,10,NA,-67,1551337746233,2
4A:67:17:7D:9B:F4,10,NA,-92,1551337746236,2
38:F9:D3:60:1A:23,10,NA,-87,1551337746240,2
4C:48:B1:72:E5:4F,10,NA,-69,1551337746263,2
73:F5:E8:94:DC:93,10,NA,-90,1551337746273,2
63:52:2A:7D:62:15,10,NA,-88,1551337746293,2
64:05:B4:B2:58:0F,10,NA,-88,1551337746319,2
63:E4:D4:3A:7E:0A,10,NA,-75,1551337746440,2
5E:55:9A:D2:C8:30,10,NA,-87,1551337746442,2
E0:FE:13:46:36:D6,10,AirCube 000006A6,-89,1551337746444,2
78:5A:AA:C6:60:F1,10,NA,-87,1551337746557,2
4C:48:B1:72:E5:4F,10,NA,-69,1551337746811,2
60:E7:49:3E:9D:A9,10,NA,-92,1551337746917,2
71:01:C8:A0:73:28,10,NA,-73,1551337747233,2
4A:67:17:7D:9B:F4,10,NA,-84,1551337747306,2
49:6F:C1:9C:98:0C,10,NA,-92,1551337747595,2
60:E7:49:3E:9D:A9,10,NA,-90,1551337747686,2
11:75:58:6B:74:DF,10,Tivoo-light,-89,1551337748334,3
11:75:58:6B:74:DF,10,Tivoo-audio,-89,1551337749574,3
00:1A:7D:DA:71:13,10,DESKTOP-0483D2U,-72,1551337750582,1
11:75:58:6B:74:DF,10,Tivoo-audio,-82,1551337752186,3
49:6F:C1:9C:98:0C,10,NA,-92,1551337753431,2
52:E2:B8:24:08:15,10,NA,-77,1551337753441,2
71:01:C8:A0:73:28,10,NA,-80,1551337753476,2
DC:A9:04:7A:EC:58,10,NA,-92,1551337753631,2
38:F9:D3:60:1A:23,10,NA,-75,1551337753689,2
52:E2:B8:24:08:15,10,NA,-80,1551337754131,2
DC:A9:04:7A:EC:58,10,NA,-92,1551337754133,2
63:E4:D4:3A:7E:0A,10,NA,-67,1551337754137,2
4C:48:B1:72:E5:4F,10,NA,-80,1551337754165,2
49:6F:C1:9C:98:0C,10,NA,-91,1551337754176,2
52:E2:B8:24:08:15,10,NA,-75,1551337754182,2
66:68:59:8C:33:92,10,NA,-87,1551337754215,2
5B:24:96:19:45:90,10,NA,-89,1551337754247,2
DC:A9:04:7A:EC:58,10,NA,-95,1551337754361,2
63:E4:D4:3A:7E:0A,10,NA,-70,1551337754404,2
63:52:2A:7D:62:15,10,NA,-77,1551337754450,2
66:68:59:8C:33:92,10,NA,-79,1551337754487,2
62:88:63:07:38:71,10,NA,-95,1551337754498,2
5E:55:9A:D2:C8:30,10,NA,-75,1551337754525,2
6E:B0:5D:48:34:CD,10,NA,-85,1551337754534,2
64:05:B4:B2:58:0F,10,NA,-83,1551337754545,2
