adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
E4:7D:BD:2C:B8:69,255,10,NA,1,-73,0,1551337753910,127,0
0D:66:B1:8E:29:C7,255,10,NA,1,-86,0,1551337753917,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-70,0,1551337753931,127,0
11:D5:B3:61:57:22,255,10,NA,1,-86,0,1551337753941,127,0
15:E4:A6:9E:32:89,255,10,NA,1,-95,0,1551337753944,127,0
30:C5:81:53:84:6C,255,10,NA,1,-99,0,1551337753950,127,0
08:00:AB:79:3D:86,255,10,NA,1,-79,0,1551337753965,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-59,0,1551337753969,127,0
07:70:48:F5:A1:93,255,10,NA,1,-91,0,1551337753977,127,0
52:E2:B8:24:08:15,255,10,NA,1,-80,0,1551337754133,127,2
DC:A9:04:7A:EC:58,255,10,NA,1,-92,0,1551337754135,127,2
20:09:E8:65:DE:68,255,10,NA,1,-88,0,1551337754136,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-64,0,1551337754137,127,0
63:E4:D4:3A:7E:0A,255,10,NA,1,-67,0,1551337754139,127,2
11:D5:B3:61:57:22,255,10,NA,1,-91,0,1551337754140,127,0
15:E4:A6:9E:32:89,255,10,NA,1,-94,0,1551337754140,127,0
E4:7D:BD:2C:B8:69,255,10,NA,1,-83,0,1551337754141,127,0
08:00:AB:79:3D:86,255,10,NA,1,-75,0,1551337754142,127,0
2A:AE:74:56:05:88,255,10,NA,1,-97,0,1551337754143,127,0
02:57:42:05:22:3F,255,10,NA,1,-93,0,1551337754144,127,0
20:09:E8:65:DE:68,255,10,NA,1,-92,0,1551337754144,127,0
7D:88:45:91:B3:0B,255,10,NA,1,-99,0,1551337754145,127,0
C0:48:E6:AA:DA:A5,255,10,NA,1,-54,0,1551337754146,127,0
22:CE:C1:35:2D:FA,255,10,NA,1,-87,0,1551337754147,127,0
0D:66:B1:8E:29:C7,255,10,NA,1,-87,0,1551337754148,127,0
34:DF:DD:4D:BC:07,255,10,NA,1,-68,0,1551337754155,127,0
11:D5:B3:61:57:22,255,10,NA,1,-83,0,1551337754156,127,0
15:E4:A6:9E:32:89,255,10,NA,1,-88,0,1551337754158,127,0
EF:C3:BC:04:55:5C,255,10,NA,1,-99,0,1551337754162,127,0
4C:48:B1:72:E5:4F,255,10,NA,1,-80,0,1551337754171,127,2
49:6F:C1:9C:98:0C,255,10,NA,1,-91,0,1551337754182,127,2
52:E2:B8:24:08:15,255,10,NA,1,-75,0,1551337754186,127,2
08:00:AB:79:3D:86,255,10,NA,1,-72,0,1551337754188,127,0
66:68:59:8C:33:92,255,10,NA,1,-87,0,1551337754219,127,2
20:09:E8:65:DE:68,255,10,NA,1,-87,0,1551337754221,127,0
0D:66:B1:8E:29:C7,255,10,NA,1,-85,0,1551337754231,127,0
5B:24:96:19:45:90,255,10,NA,1,-89,0,1551337754253,127,2
