adress,bond,name,rssi,time,type
48:2C:A0:B0:D0:83,10,QCOM-BTD,-81,1551337854700,1
C8:28:32:2E:06:2B,10,ISIMIBOX,-86,1551337855050,3
00:1A:7D:DA:71:03,10,joyk-Sub,-83,1551337855662,1
48:2C:A0:B0:D0:83,10,QCOM-BTD,-75,1551337856039,1
48:2C:A0:B0:D0:83,10,QCOM-BTD,-78,1551337856235,1
C8:28:32:2E:06:2B,10,ISIMIBOX,-68,1551337856361,3
48:3F:30:5B:83:F7,10,NA,-86,1551337857582,2
EC:4F:7D:A8:4A:F7,10,NA,-93,1551337857793,2
FF:FF:FF:FF:FF:FF,10,NA,-87,1551337857856,2
EC:3F:08:E4:4A:26,10,NA,-93,1551337857868,2
EC:AB:C0:4D:48:96,10,NA,-93,1551337857890,2
EC:93:C0:A2:8B:0C,10,NA,-93,1551337857897,2
EC:73:3A:3C:88:D0,10,NA,-92,1551337857913,2
EC:D4:89:72:A2:B7,10,NA,-88,1551337858348,2
EC:90:A2:D0:E9:21,10,NA,-90,1551337858388,2
EC:DD:31:55:1D:FC,10,NA,-97,1551337858463,2
EC:DC:D3:18:77:9B,10,NA,-90,1551337858481,2
EC:79:64:12:1E:23,10,NA,-95,1551337859101,2
C8:28:32:2E:06:2B,10,ISIMIBOX,-71,1551337860142,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-64,1551337860384,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-69,1551337862336,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-71,1551337862954,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-79,1551337863800,3
C8:28:32:2E:06:2B,10,ISIMIBOX,-74,1551337864351,3
EC:CA:DF:40:4B:95,10,NA,-94,1551337864755,2
F4:0F:24:3A:4F:5A,10,NA,-89,1551337865025,2
EC:90:A2:D0:E9:21,10,NA,-89,1551337865421,2
79:36:68:8E:B8:73,10,NA,-86,1551337865739,2
EC:03:1F:AD:55:7E,10,NA,-93,1551337865905,2
FF:FF:FF:FF:FF:FF,10,NA,-99,1551337865916,2
EC:D4:89:72:A2:B7,10,NA,-95,1551337866410,2
0B:BC:5C:2E:6E:C6,10,NA,-94,1551337866787,2
47:0D:E5:72:42:4C,10,NA,-88,1551337867584,2
C4:73:1E:A2:26:D8,10,TVBluetooth,-86,1551337907789,1
00:1F:47:07:FA:54,10,YAS-152  Yamaha ,-84,1551337910032,1
EC:63:E8:D7:3B:3E,10,NA,-98,1551337912679,2
EC:2A:B9:6B:46:0B,10,NA,-92,1551337913346,2
EC:08:9C:E1:18:36,10,NA,-92,1551337913576,2
A4:50:46:A8:B3:7A,10,NA,-90,1551337918308,1
