timeMillis,givenTimeMillis,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy
1547008776141,1547008773802,36.374771363760075,127.36535814513226,48.77335165271894,400.0,Infinity
1547008778144,1547008775814,36.37425123688268,127.36535383505762,108.482127231738,192.0,Infinity
1547008779136,1547008776814,36.37424817954655,127.36535945525729,108.482127231738,400.0,Infinity
1547008780139,1547008777814,36.37424512221042,127.36536507545674,108.482127231738,400.0,Infinity
1547008781135,1547008778814,36.37424206487429,127.36537069565597,108.482127231738,400.0,Infinity
1547008782134,1547008779814,36.37423900753816,127.36537631585497,108.482127231738,400.0,Infinity
1547008783132,1547008780814,36.37423595020203,127.36538193605377,108.482127231738,400.0,Infinity
1547008784135,1547008781814,36.3742328928659,127.36538755625233,108.482127231738,400.0,Infinity
1547008785137,1547008782814,36.37422983552977,127.36539317645068,108.482127231738,400.0,Infinity
1547008786130,1547008783814,36.37422677819364,127.3653987966488,108.482127231738,400.0,Infinity
1547008787128,1547008784814,36.37422372085751,127.36540441684672,108.482127231738,400.0,Infinity
1547008788128,1547008785814,36.37422066352138,127.3654100370444,108.482127231738,400.0,Infinity
1547008789129,1547008786814,36.37421760618525,127.36541565724187,108.482127231738,400.0,Infinity
1547008790128,1547008787814,36.37421454884912,127.36542127743911,108.482127231738,400.0,Infinity
1547008791125,1547008788814,36.37421149151299,127.36542689763613,108.482127231738,400.0,Infinity
1547008792122,1547008789814,36.37420843417686,127.36543251783293,108.482127231738,400.0,Infinity
1547008793111,1547008790814,36.37420537684073,127.3654381380295,108.482127231738,400.0,Infinity
