altitude,givenTimeMillis,horizontalAccuracy,latitude,longitude,timeMillis,verticalAccuracy
75.70866463034938,1556529543704,200.0,36.37420249047409,127.36559053491281,1556529543524,Infinity
75.70324766976896,1556529544704,250.0,36.37417943867278,127.3658090286077,1556529544462,Infinity
45.024177504026866,1556529545704,350.0,36.37420834872394,127.365951117013,1556529545465,Infinity
-78.50442616528026,1556529546704,350.0,36.37439928833653,127.36700440215542,1556529546511,Infinity
-131.71942347684657,1556529547704,350.0,36.37442269444439,127.36664223077197,1556529547459,Infinity
-15.281533624314545,1556529548704,350.0,36.374203009200116,127.36622216219277,1556529548530,Infinity
117.64898941382761,1556529549704,400.0,36.37406472346281,127.36554133722271,1556529549538,Infinity
417.1058512685085,1556529551685,400.0,36.37327439914807,127.36416842505432,1556529551518,Infinity
344.7430808295804,1556529553682,400.0,36.37346011293366,127.364441713698,1556529553524,Infinity
299.0938259800363,1556529554679,400.0,36.37350030270565,127.36433046669332,1556529554520,Infinity
327.39929539417346,1556529555653,400.0,36.373521261764424,127.36377791743939,1556529555509,Infinity
373.2729765021556,1556529556628,400.0,36.37339946186711,127.3631771124894,1556529556527,Infinity
384.98656184293026,1556529557627,400.0,36.373370693132216,127.36297069118721,1556529557524,Infinity
393.91177152215545,1556529558626,400.0,36.373354595916055,127.36292743563703,1556529558531,Infinity
319.68795181205695,1556529559645,400.0,36.37350400231134,127.36370889264629,1556529559549,Infinity
213.8983963854453,1556529563647,400.0,36.374052963919446,127.36446377206887,1556529563500,Infinity
176.31856183200364,1556529564656,400.0,36.37397506931391,127.36447156197623,1556529564540,Infinity
116.32386377548404,1556529565664,400.0,36.374154076604505,127.36473668535176,1556529565523,Infinity
46.63644148407531,1556529566676,200.0,36.374311036668274,127.36532546884705,1556529566495,Infinity
204.5765864001172,1556529567679,128.0,36.37376268671833,127.3646528606308,1556529567501,Infinity
195.60753407486442,1556529568682,128.0,36.37379691665872,127.3646815419985,1556529568505,Infinity
183.7144033422026,1556529569682,128.0,36.373820534744475,127.36474382308047,1556529569536,Infinity
172.0142036294404,1556529570682,128.0,36.373855470792996,127.36482398392005,1556529570517,Infinity
158.26389531481323,1556529571687,192.0,36.37389742719065,127.36488084926802,1556529571500,Infinity
143.2387874472324,1556529572682,192.0,36.373950206192546,127.3649265208722,1556529572555,Infinity
