id,time,x,y,z
1,1508482179209,32.8125,21.3125,-52.5
2,1508482179231,32.8125,20.9375,-52.125
3,1508482179244,33.1875,21.6875,-50.875
4,1508482179258,32.8125,20.5625,-50.5
5,1508482179274,32.8125,20.1875,-50.5
6,1508482179290,32.8125,20.1875,-50.5
7,1508482179302,33.1875,19.8125,-51.6875
8,1508482179322,32.8125,20.5625,-51.3125
9,1508482179338,32.125,19.4375,-51.6875
10,1508482179351,32.4375,20.5625,-50.875
11,1508482179370,32.4375,19.8125,-50.875
12,1508482179384,32.8125,19.8125,-50.875
13,1508482179402,32.8125,20.5625,-50.5
14,1508482179416,32.8125,20.1875,-51.6875
15,1508482179428,33.1875,20.1875,-51.6875
16,1508482179445,32.125,19.4375,-50.5
17,1508482179459,32.8125,19.8125,-51.6875
18,1508482179472,32.4375,20.5625,-52.0625
19,1508482179485,31.75,20.1875,-51.6875
20,1508482179500,31.75,20.9375,-51.6875
21,1508482179512,32.8125,21.6875,-51.6875
22,1508482179526,32.125,21.6875,-50.875
23,1508482179541,31.75,20.9375,-52.125
24,1508482179558,31.75,21.6875,-52.125
25,1508482179573,31.375,20.1875,-51.3125
26,1508482179582,31,21.3125,-51.6875
27,1508482179592,31,20.5625,-51.3125
28,1508482179601,30.625,21.3125,-52.125
29,1508482179610,31,21.3125,-52.875
30,1508482179620,30.625,21.3125,-53.3125
31,1508482179630,30.625,20.9375,-52.9375
32,1508482179642,29.5,22.375,-53.3125
33,1508482179651,29.875,20.9375,-52.875
34,1508482179661,30.625,20.1875,-52.875
35,1508482179670,29.875,20.9375,-53.3125
36,1508482179677,31,21.6875,-53.3125
37,1508482179684,30.25,20.5625,-53.75
38,1508482179692,30.625,20.5625,-52.9375
39,1508482179699,31,21.6875,-52.9375
40,1508482179709,29.875,22.0625,-52.9375
41,1508482179720,30.25,20.5625,-52.875
42,1508482179730,30.625,20.5625,-53.3125
43,1508482179739,30.25,21.3125,-53.3125
44,1508482179748,31,21.6875,-53.3125
45,1508482179756,31.375,20.9375,-53.3125
46,1508482179763,30.625,21.3125,-53.3125
47,1508482179770,31.375,21.3125,-52.125
48,1508482179777,31.75,21.6875,-52.9375
49,1508482179787,31.375,21.3125,-52.875
50,1508482179795,32.125,20.5625,-52.125
51,1508482179802,32.8125,21.3125,-53.3125
52,1508482179810,31.75,20.9375,-54.125
53,1508482179817,32.125,21.6875,-52.125
54,1508482179824,31.75,21.6875,-52.125
55,1508482179832,32.4375,21.6875,-52.125
56,1508482179840,32.8125,22.375,-50.875
57,1508482179851,32.8125,22.0625,-52.0625
58,1508482179861,33.1875,22.0625,-51.6875
59,1508482179875,33.5625,22.375,-51.6875
60,1508482179897,33.9375,23.125,-50.5
61,1508482179915,33.9375,22.0625,-51.3125
62,1508482179935,33.1875,22.75,-50.5
63,1508482179957,32.4375,22.75,-52.125
64,1508482179975,33.5625,22.75,-50.875
65,1508482180000,32.8125,22.375,-52.0625
66,1508482180015,33.1875,22.75,-51.3125
67,1508482180037,33.5625,22.0625,-51.6875
68,1508482180055,33.5625,21.3125,-51.3125
69,1508482180075,33.9375,21.3125,-52.125
70,1508482180095,33.1875,21.3125,-51.3125
71,1508482180115,34.6875,20.9375,-50.125
